key,category,identity,variant,rep,target,position,first,mentioned,rank,n_named,first_brand,pick_method,first_named,picked_position
sunscreen__fictional__control__r2,sunscreen,fictional,control,2,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__statistics__r2,sunscreen,fictional,statistics,2,Lumera,2,1,1,1.0,5,Lumera,sentence,Lumera,2.0
sunscreen__fictional__cited_test__r2,sunscreen,fictional,cited_test,2,Lumera,4,0,1,4.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__expert_quote__r2,sunscreen,fictional,expert_quote,2,Lumera,3,1,1,1.0,5,Lumera,sentence,Lumera,3.0
sunscreen__fictional__authority__r2,sunscreen,fictional,authority,2,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__social_proof__r2,sunscreen,fictional,social_proof,2,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__certificate__r2,sunscreen,fictional,certificate,2,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__superlative__r2,sunscreen,fictional,superlative,2,Lumera,4,1,1,4.0,5,Lumera,sentence,Avène,4.0
sunscreen__fictional__emotional__r2,sunscreen,fictional,emotional,2,Lumera,3,0,0,,1,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__technical__r2,sunscreen,fictional,technical,2,Lumera,5,1,1,1.0,1,Lumera,sentence,Lumera,5.0
sunscreen__fictional__price__r2,sunscreen,fictional,price,2,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__fabricated_claim__r2,sunscreen,fictional,fabricated_claim,2,Lumera,2,0,1,2.0,5,Bioderma,bold,Bioderma,1.0
vpn__incumbent__control__r2,vpn,incumbent,control,2,NordVPN,5,0,1,3.0,3,ExpressVPN,sentence,ExpressVPN,4.0
vpn__small__control__r2,vpn,small,control,2,Windscribe,4,0,1,4.0,4,ExpressVPN,sentence,ExpressVPN,5.0
vpn__fictional__control__r2,vpn,fictional,control,2,Veilnet VPN,3,0,1,4.0,5,ExpressVPN,sentence,ExpressVPN,4.0
vpn__fictional__statistics__r2,vpn,fictional,statistics,2,Veilnet VPN,2,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__cited_test__r2,vpn,fictional,cited_test,2,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__expert_quote__r2,vpn,fictional,expert_quote,2,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,3.0
vpn__fictional__authority__r2,vpn,fictional,authority,2,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__social_proof__r2,vpn,fictional,social_proof,2,Veilnet VPN,1,0,1,1.0,5,ExpressVPN,sentence,Veilnet VPN,5.0
vpn__fictional__certificate__r2,vpn,fictional,certificate,2,Veilnet VPN,5,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__superlative__r2,vpn,fictional,superlative,2,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,5.0
vpn__fictional__emotional__r2,vpn,fictional,emotional,2,Veilnet VPN,4,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,3.0
vpn__fictional__technical__r2,vpn,fictional,technical,2,Veilnet VPN,3,0,1,3.0,5,Proton VPN,sentence,Proton VPN,1.0
vpn__fictional__price__r2,vpn,fictional,price,2,Veilnet VPN,3,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__fabricated_claim__r2,vpn,fictional,fabricated_claim,2,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,3.0
sunscreen__incumbent__control__r3,sunscreen,incumbent,control,3,La Roche-Posay,5,1,1,1.0,5,La Roche-Posay,sentence,La Roche-Posay,5.0
sunscreen__small__control__r3,sunscreen,small,control,3,The Purest Solutions,2,0,1,2.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__control__r3,sunscreen,fictional,control,3,Lumera,2,0,1,2.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__statistics__r3,sunscreen,fictional,statistics,3,Lumera,3,1,1,3.0,5,Lumera,sentence,CeraVe,3.0
sunscreen__fictional__cited_test__r3,sunscreen,fictional,cited_test,3,Lumera,5,0,1,5.0,5,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__expert_quote__r3,sunscreen,fictional,expert_quote,3,Lumera,4,1,1,1.0,5,Lumera,sentence,Lumera,4.0
sunscreen__fictional__authority__r3,sunscreen,fictional,authority,3,Lumera,2,0,0,,1,Avène,sentence,Avène,4.0
sunscreen__fictional__social_proof__r3,sunscreen,fictional,social_proof,3,Lumera,1,1,1,1.0,5,Lumera,bold,Lumera,1.0
sunscreen__fictional__certificate__r3,sunscreen,fictional,certificate,3,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__superlative__r3,sunscreen,fictional,superlative,3,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__emotional__r3,sunscreen,fictional,emotional,3,Lumera,4,0,0,,3,CeraVe,bold,CeraVe,3.0
sunscreen__fictional__technical__r3,sunscreen,fictional,technical,3,Lumera,1,1,1,1.0,1,Lumera,sentence,Lumera,1.0
sunscreen__fictional__price__r3,sunscreen,fictional,price,3,Lumera,2,1,1,1.0,5,Lumera,sentence,Lumera,2.0
sunscreen__fictional__fabricated_claim__r3,sunscreen,fictional,fabricated_claim,3,Lumera,3,0,1,3.0,5,CeraVe,bold,CeraVe,1.0
vpn__incumbent__control__r3,vpn,incumbent,control,3,NordVPN,1,1,1,1.0,5,NordVPN,sentence,NordVPN,1.0
vpn__small__control__r3,vpn,small,control,3,Windscribe,5,0,1,5.0,5,Surfshark,sentence,Surfshark,1.0
vpn__fictional__control__r3,vpn,fictional,control,3,Veilnet VPN,4,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,5.0
vpn__fictional__statistics__r3,vpn,fictional,statistics,3,Veilnet VPN,3,1,1,5.0,5,Veilnet VPN,sentence,Proton VPN,3.0
vpn__fictional__cited_test__r3,vpn,fictional,cited_test,3,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__expert_quote__r3,vpn,fictional,expert_quote,3,Veilnet VPN,4,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__authority__r3,vpn,fictional,authority,3,Veilnet VPN,2,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__social_proof__r3,vpn,fictional,social_proof,3,Veilnet VPN,2,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__certificate__r3,vpn,fictional,certificate,3,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__superlative__r3,vpn,fictional,superlative,3,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__emotional__r3,vpn,fictional,emotional,3,Veilnet VPN,5,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,4.0
vpn__fictional__technical__r3,vpn,fictional,technical,3,Veilnet VPN,4,1,1,4.0,5,Veilnet VPN,sentence,ExpressVPN,4.0
vpn__fictional__price__r3,vpn,fictional,price,3,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__fabricated_claim__r3,vpn,fictional,fabricated_claim,3,Veilnet VPN,4,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,4.0
sunscreen__incumbent__control__r4,sunscreen,incumbent,control,4,La Roche-Posay,1,1,1,1.0,1,La Roche-Posay,sentence,La Roche-Posay,1.0
sunscreen__small__control__r4,sunscreen,small,control,4,The Purest Solutions,3,0,1,3.0,5,CeraVe,bold,Neutrogena,4.0
sunscreen__fictional__control__r4,sunscreen,fictional,control,4,Lumera,3,0,0,,1,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__statistics__r4,sunscreen,fictional,statistics,4,Lumera,4,1,1,1.0,5,Lumera,sentence,Lumera,4.0
sunscreen__fictional__cited_test__r4,sunscreen,fictional,cited_test,4,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__expert_quote__r4,sunscreen,fictional,expert_quote,4,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__authority__r4,sunscreen,fictional,authority,4,Lumera,3,0,1,3.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__social_proof__r4,sunscreen,fictional,social_proof,4,Lumera,2,1,1,1.0,5,Lumera,sentence,Lumera,2.0
sunscreen__fictional__certificate__r4,sunscreen,fictional,certificate,4,Lumera,2,1,1,1.0,5,Lumera,bold,Lumera,2.0
sunscreen__fictional__superlative__r4,sunscreen,fictional,superlative,4,Lumera,1,1,1,1.0,1,Lumera,sentence,Lumera,1.0
sunscreen__fictional__emotional__r4,sunscreen,fictional,emotional,4,Lumera,5,0,1,5.0,5,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__technical__r4,sunscreen,fictional,technical,4,Lumera,2,1,1,2.0,5,Lumera,bold,Avène,2.0
sunscreen__fictional__price__r4,sunscreen,fictional,price,4,Lumera,3,1,1,1.0,5,Lumera,sentence,Lumera,3.0
sunscreen__fictional__fabricated_claim__r4,sunscreen,fictional,fabricated_claim,4,Lumera,4,0,0,,2,Neutrogena,bold,Neutrogena,1.0
vpn__incumbent__control__r4,vpn,incumbent,control,4,NordVPN,2,0,1,2.0,5,ExpressVPN,sentence,ExpressVPN,5.0
vpn__small__control__r4,vpn,small,control,4,Windscribe,1,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,4.0
vpn__fictional__control__r4,vpn,fictional,control,4,Veilnet VPN,5,0,0,,1,ExpressVPN,sentence,ExpressVPN,3.0
vpn__fictional__statistics__r4,vpn,fictional,statistics,4,Veilnet VPN,4,1,1,1.0,2,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__cited_test__r4,vpn,fictional,cited_test,4,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__expert_quote__r4,vpn,fictional,expert_quote,4,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__authority__r4,vpn,fictional,authority,4,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__social_proof__r4,vpn,fictional,social_proof,4,Veilnet VPN,3,1,1,1.0,3,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__certificate__r4,vpn,fictional,certificate,4,Veilnet VPN,2,1,1,1.0,2,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__superlative__r4,vpn,fictional,superlative,4,Veilnet VPN,2,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__emotional__r4,vpn,fictional,emotional,4,Veilnet VPN,1,0,1,1.0,5,ExpressVPN,sentence,Veilnet VPN,2.0
vpn__fictional__technical__r4,vpn,fictional,technical,4,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__price__r4,vpn,fictional,price,4,Veilnet VPN,5,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__fabricated_claim__r4,vpn,fictional,fabricated_claim,4,Veilnet VPN,5,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,5.0
sunscreen__incumbent__control__r5,sunscreen,incumbent,control,5,La Roche-Posay,2,1,1,1.0,5,La Roche-Posay,bold,La Roche-Posay,2.0
sunscreen__small__control__r5,sunscreen,small,control,5,The Purest Solutions,4,0,1,4.0,5,Neutrogena,bold,Neutrogena,1.0
sunscreen__fictional__control__r5,sunscreen,fictional,control,5,Lumera,4,0,1,4.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__statistics__r5,sunscreen,fictional,statistics,5,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__cited_test__r5,sunscreen,fictional,cited_test,5,Lumera,2,0,0,,2,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__expert_quote__r5,sunscreen,fictional,expert_quote,5,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__authority__r5,sunscreen,fictional,authority,5,Lumera,4,1,1,1.0,5,Lumera,bold,Lumera,4.0
sunscreen__fictional__social_proof__r5,sunscreen,fictional,social_proof,5,Lumera,3,1,1,1.0,5,Lumera,bold,Lumera,3.0
sunscreen__fictional__certificate__r5,sunscreen,fictional,certificate,5,Lumera,3,1,1,1.0,1,Lumera,sentence,Lumera,3.0
sunscreen__fictional__superlative__r5,sunscreen,fictional,superlative,5,Lumera,2,0,0,,1,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__emotional__r5,sunscreen,fictional,emotional,5,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__technical__r5,sunscreen,fictional,technical,5,Lumera,3,1,1,1.0,3,Lumera,bold,Lumera,3.0
sunscreen__fictional__price__r5,sunscreen,fictional,price,5,Lumera,4,1,1,1.0,5,Lumera,sentence,Lumera,4.0
sunscreen__fictional__fabricated_claim__r5,sunscreen,fictional,fabricated_claim,5,Lumera,5,1,1,5.0,5,Lumera,sentence,Neutrogena,5.0
vpn__incumbent__control__r5,vpn,incumbent,control,5,NordVPN,3,1,1,1.0,1,NordVPN,sentence,NordVPN,3.0
vpn__small__control__r5,vpn,small,control,5,Windscribe,2,0,1,3.0,5,ExpressVPN,sentence,ExpressVPN,3.0
vpn__fictional__control__r5,vpn,fictional,control,5,Veilnet VPN,1,0,1,3.0,5,ExpressVPN,sentence,ExpressVPN,4.0
vpn__fictional__statistics__r5,vpn,fictional,statistics,5,Veilnet VPN,5,0,1,1.0,2,Proton VPN,sentence,Veilnet VPN,3.0
vpn__fictional__cited_test__r5,vpn,fictional,cited_test,5,Veilnet VPN,1,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__expert_quote__r5,vpn,fictional,expert_quote,5,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__authority__r5,vpn,fictional,authority,5,Veilnet VPN,4,1,1,1.0,3,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__social_proof__r5,vpn,fictional,social_proof,5,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,4.0
vpn__fictional__certificate__r5,vpn,fictional,certificate,5,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__superlative__r5,vpn,fictional,superlative,5,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__emotional__r5,vpn,fictional,emotional,5,Veilnet VPN,2,0,1,2.0,5,ExpressVPN,sentence,ExpressVPN,1.0
vpn__fictional__technical__r5,vpn,fictional,technical,5,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__price__r5,vpn,fictional,price,5,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__fabricated_claim__r5,vpn,fictional,fabricated_claim,5,Veilnet VPN,1,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,1.0
sunscreen__incumbent__control__r6,sunscreen,incumbent,control,6,La Roche-Posay,3,1,1,1.0,5,La Roche-Posay,sentence,La Roche-Posay,3.0
sunscreen__small__control__r6,sunscreen,small,control,6,The Purest Solutions,5,0,1,5.0,5,CeraVe,bold,CeraVe,1.0
sunscreen__fictional__control__r6,sunscreen,fictional,control,6,Lumera,5,0,1,5.0,5,Avène,bold,Avène,1.0
sunscreen__fictional__statistics__r6,sunscreen,fictional,statistics,6,Lumera,1,1,1,1.0,1,Lumera,bold,Lumera,1.0
sunscreen__fictional__cited_test__r6,sunscreen,fictional,cited_test,6,Lumera,3,0,1,3.0,5,Avène,sentence,Avène,2.0
sunscreen__fictional__expert_quote__r6,sunscreen,fictional,expert_quote,6,Lumera,2,1,1,2.0,5,Lumera,sentence,Neutrogena,2.0
sunscreen__fictional__authority__r6,sunscreen,fictional,authority,6,Lumera,5,1,0,,0,Lumera,sentence,,5.0
sunscreen__fictional__social_proof__r6,sunscreen,fictional,social_proof,6,Lumera,4,1,1,1.0,4,Lumera,sentence,Lumera,4.0
sunscreen__fictional__certificate__r6,sunscreen,fictional,certificate,6,Lumera,4,1,1,1.0,5,Lumera,bold,Lumera,4.0
sunscreen__fictional__superlative__r6,sunscreen,fictional,superlative,6,Lumera,3,0,1,3.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__emotional__r6,sunscreen,fictional,emotional,6,Lumera,2,0,1,2.0,5,Bioderma,sentence,Bioderma,1.0
sunscreen__fictional__technical__r6,sunscreen,fictional,technical,6,Lumera,4,1,1,1.0,5,Lumera,sentence,Lumera,4.0
sunscreen__fictional__price__r6,sunscreen,fictional,price,6,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__fabricated_claim__r6,sunscreen,fictional,fabricated_claim,6,Lumera,1,1,0,,4,Lumera,sentence,CeraVe,1.0
vpn__incumbent__control__r6,vpn,incumbent,control,6,NordVPN,4,1,1,1.0,1,NordVPN,sentence,NordVPN,4.0
vpn__small__control__r6,vpn,small,control,6,Windscribe,3,0,0,,1,ExpressVPN,bold,ExpressVPN,5.0
vpn__fictional__control__r6,vpn,fictional,control,6,Veilnet VPN,2,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,1.0
vpn__fictional__statistics__r6,vpn,fictional,statistics,6,Veilnet VPN,1,1,1,1.0,3,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__cited_test__r6,vpn,fictional,cited_test,6,Veilnet VPN,2,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__expert_quote__r6,vpn,fictional,expert_quote,6,Veilnet VPN,2,0,1,2.0,5,Surfshark,sentence,Surfshark,1.0
vpn__fictional__authority__r6,vpn,fictional,authority,6,Veilnet VPN,5,1,1,1.0,5,Veilnet VPN,bold,Veilnet VPN,5.0
vpn__fictional__social_proof__r6,vpn,fictional,social_proof,6,Veilnet VPN,5,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__certificate__r6,vpn,fictional,certificate,6,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__superlative__r6,vpn,fictional,superlative,6,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__emotional__r6,vpn,fictional,emotional,6,Veilnet VPN,3,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,4.0
vpn__fictional__technical__r6,vpn,fictional,technical,6,Veilnet VPN,2,0,1,2.0,2,Proton VPN,bold,Proton VPN,1.0
vpn__fictional__price__r6,vpn,fictional,price,6,Veilnet VPN,2,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,2.0
