sector,query_id,target,arm,rep,mentioned,first,prompt_tokens,completion_tokens
vpn,vpn_01,Windscribe,neutral_p1,7,1,0,1051,278
vpn,vpn_01,Windscribe,superlative_p5,7,0,0,1063,250
vpn,vpn_01,Windscribe,neutral_p5_p8,7,0,0,1141,291
vpn,vpn_02,Private Internet Access,control,0,0,0,1032,514
vpn,vpn_02,Windscribe,control,0,0,0,1032,514
vpn,vpn_02,Private Internet Access,neutral_p5,0,0,0,1125,530
vpn,vpn_02,Private Internet Access,neutral_p1,0,1,0,1125,449
vpn,vpn_02,Private Internet Access,superlative_p5,0,0,0,1137,510
vpn,vpn_02,Private Internet Access,neutral_p5_p8,0,1,0,1218,325
vpn,vpn_02,Windscribe,neutral_p5,0,1,0,1122,624
vpn,vpn_02,Windscribe,neutral_p1,0,1,0,1122,528
vpn,vpn_02,Windscribe,superlative_p5,0,0,0,1134,533
vpn,vpn_02,Windscribe,neutral_p5_p8,0,0,0,1212,507
vpn,vpn_02,Private Internet Access,control,1,0,0,1032,359
vpn,vpn_02,Windscribe,control,1,0,0,1032,359
vpn,vpn_02,Private Internet Access,neutral_p5,1,0,0,1125,523
vpn,vpn_02,Private Internet Access,neutral_p1,1,1,0,1125,316
vpn,vpn_02,Private Internet Access,superlative_p5,1,0,0,1137,400
vpn,vpn_02,Private Internet Access,neutral_p5_p8,1,0,0,1218,476
vpn,vpn_02,Windscribe,neutral_p5,1,0,0,1122,555
vpn,vpn_02,Windscribe,neutral_p1,1,1,0,1122,538
vpn,vpn_02,Windscribe,superlative_p5,1,0,0,1134,461
vpn,vpn_02,Windscribe,neutral_p5_p8,1,1,0,1212,273
vpn,vpn_02,Private Internet Access,control,2,0,0,1032,483
vpn,vpn_02,Windscribe,control,2,0,0,1032,483
vpn,vpn_02,Private Internet Access,neutral_p5,2,1,0,1125,386
vpn,vpn_02,Private Internet Access,neutral_p1,2,1,0,1125,525
vpn,vpn_02,Private Internet Access,superlative_p5,2,0,0,1137,331
vpn,vpn_02,Private Internet Access,neutral_p5_p8,2,1,0,1218,391
vpn,vpn_02,Windscribe,neutral_p5,2,1,0,1122,353
vpn,vpn_02,Windscribe,neutral_p1,2,1,0,1122,499
vpn,vpn_02,Windscribe,superlative_p5,2,0,0,1134,519
vpn,vpn_02,Windscribe,neutral_p5_p8,2,1,0,1212,564
vpn,vpn_02,Private Internet Access,control,3,0,0,1032,302
vpn,vpn_02,Windscribe,control,3,0,0,1032,302
vpn,vpn_02,Private Internet Access,neutral_p5,3,0,0,1125,505
vpn,vpn_02,Private Internet Access,neutral_p1,3,1,0,1125,237
vpn,vpn_02,Private Internet Access,superlative_p5,3,1,0,1137,330
vpn,vpn_02,Private Internet Access,neutral_p5_p8,3,1,0,1218,271
vpn,vpn_02,Windscribe,neutral_p5,3,0,0,1122,430
vpn,vpn_02,Windscribe,neutral_p1,3,1,0,1122,583
vpn,vpn_02,Windscribe,superlative_p5,3,1,0,1134,255
vpn,vpn_02,Windscribe,neutral_p5_p8,3,1,0,1212,596
vpn,vpn_02,Private Internet Access,control,4,0,0,1032,429
vpn,vpn_02,Windscribe,control,4,0,0,1032,429
vpn,vpn_02,Private Internet Access,neutral_p5,4,0,0,1125,585
vpn,vpn_02,Private Internet Access,neutral_p1,4,1,0,1125,507
vpn,vpn_02,Private Internet Access,superlative_p5,4,1,0,1137,336
vpn,vpn_02,Private Internet Access,neutral_p5_p8,4,1,0,1218,262
vpn,vpn_02,Windscribe,neutral_p5,4,1,0,1122,297
vpn,vpn_02,Windscribe,neutral_p1,4,0,0,1122,546
vpn,vpn_02,Windscribe,superlative_p5,4,1,0,1134,463
vpn,vpn_02,Windscribe,neutral_p5_p8,4,0,0,1212,514
vpn,vpn_02,Private Internet Access,control,5,0,0,1032,425
vpn,vpn_02,Windscribe,control,5,0,0,1032,425
vpn,vpn_02,Private Internet Access,neutral_p5,5,0,0,1125,507
vpn,vpn_02,Private Internet Access,neutral_p1,5,1,0,1125,266
vpn,vpn_02,Private Internet Access,superlative_p5,5,0,0,1137,478
vpn,vpn_02,Private Internet Access,neutral_p5_p8,5,1,0,1218,467
vpn,vpn_02,Windscribe,neutral_p5,5,0,0,1122,560
vpn,vpn_02,Windscribe,neutral_p1,5,1,0,1122,511
vpn,vpn_02,Windscribe,superlative_p5,5,0,0,1134,373
vpn,vpn_02,Windscribe,neutral_p5_p8,5,1,0,1212,491
vpn,vpn_02,Private Internet Access,control,6,0,0,1032,464
vpn,vpn_02,Windscribe,control,6,0,0,1032,464
vpn,vpn_02,Private Internet Access,neutral_p5,6,0,0,1125,521
vpn,vpn_02,Private Internet Access,neutral_p1,6,1,0,1125,409
vpn,vpn_02,Private Internet Access,superlative_p5,6,1,0,1137,563
vpn,vpn_02,Private Internet Access,neutral_p5_p8,6,1,0,1218,440
vpn,vpn_02,Windscribe,neutral_p5,6,1,0,1122,474
vpn,vpn_02,Windscribe,neutral_p1,6,1,0,1122,584
vpn,vpn_02,Windscribe,superlative_p5,6,0,0,1134,485
vpn,vpn_02,Windscribe,neutral_p5_p8,6,0,0,1212,411
vpn,vpn_02,Private Internet Access,control,7,0,0,1032,320
vpn,vpn_02,Windscribe,control,7,0,0,1032,320
vpn,vpn_02,Private Internet Access,neutral_p5,7,0,0,1125,486
vpn,vpn_02,Private Internet Access,neutral_p1,7,1,0,1125,324
vpn,vpn_02,Private Internet Access,superlative_p5,7,1,0,1137,569
vpn,vpn_02,Private Internet Access,neutral_p5_p8,7,0,0,1218,210
vpn,vpn_02,Windscribe,neutral_p5,7,0,0,1122,564
vpn,vpn_02,Windscribe,neutral_p1,7,1,0,1122,553
vpn,vpn_02,Windscribe,superlative_p5,7,0,0,1134,329
vpn,vpn_02,Windscribe,neutral_p5_p8,7,0,0,1212,580
vpn,vpn_03,Private Internet Access,control,0,0,0,946,480
vpn,vpn_03,Windscribe,control,0,0,0,946,480
vpn,vpn_03,Private Internet Access,neutral_p5,0,1,0,1039,427
vpn,vpn_03,Private Internet Access,neutral_p1,0,1,0,1039,372
vpn,vpn_03,Private Internet Access,superlative_p5,0,1,0,1051,450
vpn,vpn_03,Private Internet Access,neutral_p5_p8,0,1,0,1132,466
vpn,vpn_03,Windscribe,neutral_p5,0,1,0,1036,460
vpn,vpn_03,Windscribe,neutral_p1,0,1,0,1036,474
vpn,vpn_03,Windscribe,superlative_p5,0,1,0,1048,393
vpn,vpn_03,Windscribe,neutral_p5_p8,0,1,0,1126,617
vpn,vpn_03,Private Internet Access,control,1,0,0,946,535
vpn,vpn_03,Windscribe,control,1,0,0,946,535
vpn,vpn_03,Private Internet Access,neutral_p5,1,1,0,1039,425
vpn,vpn_03,Private Internet Access,neutral_p1,1,1,0,1039,333
vpn,vpn_03,Private Internet Access,superlative_p5,1,1,0,1051,397
vpn,vpn_03,Private Internet Access,neutral_p5_p8,1,1,0,1132,377
vpn,vpn_03,Windscribe,neutral_p5,1,1,0,1036,401
vpn,vpn_03,Windscribe,neutral_p1,1,1,0,1036,536
vpn,vpn_03,Windscribe,superlative_p5,1,1,0,1048,443
vpn,vpn_03,Windscribe,neutral_p5_p8,1,1,0,1126,531
vpn,vpn_03,Private Internet Access,control,2,0,0,946,498
vpn,vpn_03,Windscribe,control,2,1,0,946,498
vpn,vpn_03,Private Internet Access,neutral_p5,2,1,0,1039,458
vpn,vpn_03,Private Internet Access,neutral_p1,2,1,0,1039,329
vpn,vpn_03,Private Internet Access,superlative_p5,2,1,0,1051,338
vpn,vpn_03,Private Internet Access,neutral_p5_p8,2,1,0,1132,423
vpn,vpn_03,Windscribe,neutral_p5,2,1,0,1036,433
vpn,vpn_03,Windscribe,neutral_p1,2,1,0,1036,532
vpn,vpn_03,Windscribe,superlative_p5,2,1,0,1048,494
vpn,vpn_03,Windscribe,neutral_p5_p8,2,1,0,1126,460
vpn,vpn_03,Private Internet Access,control,3,0,0,946,404
vpn,vpn_03,Windscribe,control,3,0,0,946,404
vpn,vpn_03,Private Internet Access,neutral_p5,3,1,0,1039,343
vpn,vpn_03,Private Internet Access,neutral_p1,3,1,0,1039,258
vpn,vpn_03,Private Internet Access,superlative_p5,3,1,0,1051,452
vpn,vpn_03,Private Internet Access,neutral_p5_p8,3,1,0,1132,439
vpn,vpn_03,Windscribe,neutral_p5,3,1,0,1036,359
vpn,vpn_03,Windscribe,neutral_p1,3,1,0,1036,451
vpn,vpn_03,Windscribe,superlative_p5,3,1,0,1048,411
vpn,vpn_03,Windscribe,neutral_p5_p8,3,1,0,1126,432
vpn,vpn_03,Private Internet Access,control,4,0,0,946,391
vpn,vpn_03,Windscribe,control,4,0,0,946,391
vpn,vpn_03,Private Internet Access,neutral_p5,4,1,0,1039,397
vpn,vpn_03,Private Internet Access,neutral_p1,4,1,0,1039,334
vpn,vpn_03,Private Internet Access,superlative_p5,4,1,0,1051,479
vpn,vpn_03,Private Internet Access,neutral_p5_p8,4,1,0,1132,546
vpn,vpn_03,Windscribe,neutral_p5,4,1,0,1036,540
vpn,vpn_03,Windscribe,neutral_p1,4,1,0,1036,361
vpn,vpn_03,Windscribe,superlative_p5,4,1,0,1048,486
vpn,vpn_03,Windscribe,neutral_p5_p8,4,1,0,1126,475
vpn,vpn_03,Private Internet Access,control,5,0,0,946,504
vpn,vpn_03,Windscribe,control,5,0,0,946,504
vpn,vpn_03,Private Internet Access,neutral_p5,5,1,0,1039,433
vpn,vpn_03,Private Internet Access,neutral_p1,5,1,0,1039,404
vpn,vpn_03,Private Internet Access,superlative_p5,5,0,0,1051,549
vpn,vpn_03,Private Internet Access,neutral_p5_p8,5,1,0,1132,583
vpn,vpn_03,Windscribe,neutral_p5,5,1,0,1036,447
vpn,vpn_03,Windscribe,neutral_p1,5,1,0,1036,324
vpn,vpn_03,Windscribe,superlative_p5,5,1,0,1048,448
vpn,vpn_03,Windscribe,neutral_p5_p8,5,1,0,1126,444
vpn,vpn_03,Private Internet Access,control,6,0,0,946,606
vpn,vpn_03,Windscribe,control,6,0,0,946,606
vpn,vpn_03,Private Internet Access,neutral_p5,6,1,0,1039,462
vpn,vpn_03,Private Internet Access,neutral_p1,6,1,0,1039,360
vpn,vpn_03,Private Internet Access,superlative_p5,6,1,0,1051,434
vpn,vpn_03,Private Internet Access,neutral_p5_p8,6,1,0,1132,452
vpn,vpn_03,Windscribe,neutral_p5,6,1,0,1036,452
vpn,vpn_03,Windscribe,neutral_p1,6,1,0,1036,295
vpn,vpn_03,Windscribe,superlative_p5,6,1,0,1048,436
vpn,vpn_03,Windscribe,neutral_p5_p8,6,1,0,1126,484
vpn,vpn_03,Private Internet Access,control,7,0,0,946,438
vpn,vpn_03,Windscribe,control,7,0,0,946,438
vpn,vpn_03,Private Internet Access,neutral_p5,7,1,0,1039,481
vpn,vpn_03,Private Internet Access,neutral_p1,7,1,0,1039,364
vpn,vpn_03,Private Internet Access,superlative_p5,7,0,0,1051,532
vpn,vpn_03,Private Internet Access,neutral_p5_p8,7,1,0,1132,414
vpn,vpn_03,Windscribe,neutral_p5,7,1,0,1036,405
vpn,vpn_03,Windscribe,neutral_p1,7,1,0,1036,415
vpn,vpn_03,Windscribe,superlative_p5,7,1,0,1048,362
vpn,vpn_03,Windscribe,neutral_p5_p8,7,1,0,1126,570
vpn,vpn_04,Private Internet Access,control,0,0,0,984,500
vpn,vpn_04,Windscribe,control,0,0,0,984,500
vpn,vpn_04,Private Internet Access,neutral_p5,0,0,0,1077,571
vpn,vpn_04,Private Internet Access,neutral_p1,0,0,0,1077,271
vpn,vpn_04,Private Internet Access,superlative_p5,0,0,0,1089,412
vpn,vpn_04,Private Internet Access,neutral_p5_p8,0,0,0,1170,492
vpn,vpn_04,Windscribe,neutral_p5,0,0,0,1074,539
vpn,vpn_04,Windscribe,neutral_p1,0,0,0,1074,547
vpn,vpn_04,Windscribe,superlative_p5,0,0,0,1086,393
vpn,vpn_04,Windscribe,neutral_p5_p8,0,0,0,1164,610
vpn,vpn_04,Private Internet Access,control,1,0,0,984,509
vpn,vpn_04,Windscribe,control,1,0,0,984,509
vpn,vpn_04,Private Internet Access,neutral_p5,1,0,0,1077,600
vpn,vpn_04,Private Internet Access,neutral_p1,1,0,0,1077,455
vpn,vpn_04,Private Internet Access,superlative_p5,1,0,0,1089,424
vpn,vpn_04,Private Internet Access,neutral_p5_p8,1,1,0,1170,520
vpn,vpn_04,Windscribe,neutral_p5,1,0,0,1074,580
vpn,vpn_04,Windscribe,neutral_p1,1,0,0,1074,573
vpn,vpn_04,Windscribe,superlative_p5,1,0,0,1086,555
vpn,vpn_04,Windscribe,neutral_p5_p8,1,0,0,1164,538
vpn,vpn_04,Private Internet Access,control,2,0,0,984,525
vpn,vpn_04,Windscribe,control,2,0,0,984,525
vpn,vpn_04,Private Internet Access,neutral_p5,2,0,0,1077,591
vpn,vpn_04,Private Internet Access,neutral_p1,2,0,0,1077,395
vpn,vpn_04,Private Internet Access,superlative_p5,2,0,0,1089,419
vpn,vpn_04,Private Internet Access,neutral_p5_p8,2,0,0,1170,515
vpn,vpn_04,Windscribe,neutral_p5,2,0,0,1074,584
vpn,vpn_04,Windscribe,neutral_p1,2,0,0,1074,594
vpn,vpn_04,Windscribe,superlative_p5,2,0,0,1086,445
vpn,vpn_04,Windscribe,neutral_p5_p8,2,0,0,1164,515
vpn,vpn_04,Private Internet Access,control,3,0,0,984,503
vpn,vpn_04,Windscribe,control,3,0,0,984,503
vpn,vpn_04,Private Internet Access,neutral_p5,3,0,0,1077,481
vpn,vpn_04,Private Internet Access,neutral_p1,3,0,0,1077,498
vpn,vpn_04,Private Internet Access,superlative_p5,3,0,0,1089,584
vpn,vpn_04,Private Internet Access,neutral_p5_p8,3,0,0,1170,554
vpn,vpn_04,Windscribe,neutral_p5,3,0,0,1074,617
vpn,vpn_04,Windscribe,neutral_p1,3,0,0,1074,499
vpn,vpn_04,Windscribe,superlative_p5,3,0,0,1086,546
vpn,vpn_04,Windscribe,neutral_p5_p8,3,0,0,1164,583
vpn,vpn_04,Private Internet Access,control,4,0,0,984,557
vpn,vpn_04,Windscribe,control,4,0,0,984,557
vpn,vpn_04,Private Internet Access,neutral_p5,4,0,0,1077,536
vpn,vpn_04,Private Internet Access,neutral_p1,4,0,0,1077,386
vpn,vpn_04,Private Internet Access,superlative_p5,4,0,0,1089,612
vpn,vpn_04,Private Internet Access,neutral_p5_p8,4,0,0,1170,519
vpn,vpn_04,Windscribe,neutral_p5,4,0,0,1074,659
vpn,vpn_04,Windscribe,neutral_p1,4,0,0,1074,571
vpn,vpn_04,Windscribe,superlative_p5,4,0,0,1086,535
vpn,vpn_04,Windscribe,neutral_p5_p8,4,0,0,1164,505
vpn,vpn_04,Private Internet Access,control,5,0,0,984,601
vpn,vpn_04,Windscribe,control,5,0,0,984,601
vpn,vpn_04,Private Internet Access,neutral_p5,5,0,0,1077,552
vpn,vpn_04,Private Internet Access,neutral_p1,5,0,0,1077,414
vpn,vpn_04,Private Internet Access,superlative_p5,5,0,0,1089,604
vpn,vpn_04,Private Internet Access,neutral_p5_p8,5,0,0,1170,580
vpn,vpn_04,Windscribe,neutral_p5,5,0,0,1074,456
vpn,vpn_04,Windscribe,neutral_p1,5,0,0,1074,608
vpn,vpn_04,Windscribe,superlative_p5,5,0,0,1086,500
vpn,vpn_04,Windscribe,neutral_p5_p8,5,0,0,1164,592
vpn,vpn_04,Private Internet Access,control,6,0,0,984,535
vpn,vpn_04,Windscribe,control,6,0,0,984,535
vpn,vpn_04,Private Internet Access,neutral_p5,6,0,0,1077,511
vpn,vpn_04,Private Internet Access,neutral_p1,6,0,0,1077,424
vpn,vpn_04,Private Internet Access,superlative_p5,6,0,0,1089,512
vpn,vpn_04,Private Internet Access,neutral_p5_p8,6,1,0,1170,557
vpn,vpn_04,Windscribe,neutral_p5,6,0,0,1074,570
vpn,vpn_04,Windscribe,neutral_p1,6,0,0,1074,471
vpn,vpn_04,Windscribe,superlative_p5,6,0,0,1086,442
vpn,vpn_04,Windscribe,neutral_p5_p8,6,0,0,1164,624
vpn,vpn_04,Private Internet Access,control,7,0,0,984,526
vpn,vpn_04,Windscribe,control,7,0,0,984,526
vpn,vpn_04,Private Internet Access,neutral_p5,7,0,0,1077,586
vpn,vpn_04,Private Internet Access,neutral_p1,7,0,0,1077,509
vpn,vpn_04,Private Internet Access,superlative_p5,7,1,0,1089,558
vpn,vpn_04,Private Internet Access,neutral_p5_p8,7,0,0,1170,516
vpn,vpn_04,Windscribe,neutral_p5,7,0,0,1074,514
vpn,vpn_04,Windscribe,neutral_p1,7,0,0,1074,557
vpn,vpn_04,Windscribe,superlative_p5,7,0,0,1086,615
vpn,vpn_04,Windscribe,neutral_p5_p8,7,0,0,1164,620
vpn,vpn_05,Private Internet Access,control,0,0,0,1006,567
vpn,vpn_05,Windscribe,control,0,0,0,1006,567
vpn,vpn_05,Private Internet Access,neutral_p5,0,1,0,1099,636
vpn,vpn_05,Private Internet Access,neutral_p1,0,1,0,1099,619
vpn,vpn_05,Private Internet Access,superlative_p5,0,1,0,1111,616
vpn,vpn_05,Private Internet Access,neutral_p5_p8,0,1,0,1192,602
vpn,vpn_05,Windscribe,neutral_p5,0,0,0,1096,637
vpn,vpn_05,Windscribe,neutral_p1,0,1,0,1096,526
vpn,vpn_05,Windscribe,superlative_p5,0,0,0,1108,582
vpn,vpn_05,Windscribe,neutral_p5_p8,0,0,0,1186,642
vpn,vpn_05,Private Internet Access,control,1,0,0,1006,563
vpn,vpn_05,Windscribe,control,1,0,0,1006,563
vpn,vpn_05,Private Internet Access,neutral_p5,1,1,0,1099,632
vpn,vpn_05,Private Internet Access,neutral_p1,1,1,0,1099,544
vpn,vpn_05,Private Internet Access,superlative_p5,1,1,0,1111,621
vpn,vpn_05,Private Internet Access,neutral_p5_p8,1,1,0,1192,638
vpn,vpn_05,Windscribe,neutral_p5,1,0,0,1096,549
vpn,vpn_05,Windscribe,neutral_p1,1,0,0,1096,574
vpn,vpn_05,Windscribe,superlative_p5,1,0,0,1108,593
vpn,vpn_05,Windscribe,neutral_p5_p8,1,0,0,1186,618
vpn,vpn_05,Private Internet Access,control,2,0,0,1006,611
vpn,vpn_05,Windscribe,control,2,0,0,1006,611
vpn,vpn_05,Private Internet Access,neutral_p5,2,0,0,1099,608
vpn,vpn_05,Private Internet Access,neutral_p1,2,1,0,1099,635
vpn,vpn_05,Private Internet Access,superlative_p5,2,1,0,1111,583
vpn,vpn_05,Private Internet Access,neutral_p5_p8,2,1,0,1192,653
vpn,vpn_05,Windscribe,neutral_p5,2,0,0,1096,605
vpn,vpn_05,Windscribe,neutral_p1,2,0,0,1096,552
vpn,vpn_05,Windscribe,superlative_p5,2,0,0,1108,587
vpn,vpn_05,Windscribe,neutral_p5_p8,2,0,0,1186,628
vpn,vpn_05,Private Internet Access,control,3,0,0,1006,585
vpn,vpn_05,Windscribe,control,3,0,0,1006,585
vpn,vpn_05,Private Internet Access,neutral_p5,3,1,0,1099,626
vpn,vpn_05,Private Internet Access,neutral_p1,3,1,0,1099,597
vpn,vpn_05,Private Internet Access,superlative_p5,3,1,0,1111,590
vpn,vpn_05,Private Internet Access,neutral_p5_p8,3,1,0,1192,604
vpn,vpn_05,Windscribe,neutral_p5,3,0,0,1096,601
vpn,vpn_05,Windscribe,neutral_p1,3,0,0,1096,610
vpn,vpn_05,Windscribe,superlative_p5,3,0,0,1108,542
vpn,vpn_05,Windscribe,neutral_p5_p8,3,0,0,1186,504
vpn,vpn_05,Private Internet Access,control,4,0,0,1006,608
vpn,vpn_05,Windscribe,control,4,0,0,1006,608
vpn,vpn_05,Private Internet Access,neutral_p5,4,1,0,1099,734
vpn,vpn_05,Private Internet Access,neutral_p1,4,1,0,1099,542
vpn,vpn_05,Private Internet Access,superlative_p5,4,1,0,1111,598
vpn,vpn_05,Private Internet Access,neutral_p5_p8,4,1,0,1192,609
vpn,vpn_05,Windscribe,neutral_p5,4,0,0,1096,594
vpn,vpn_05,Windscribe,neutral_p1,4,0,0,1096,526
vpn,vpn_05,Windscribe,superlative_p5,4,0,0,1108,578
vpn,vpn_05,Windscribe,neutral_p5_p8,4,0,0,1186,537
vpn,vpn_05,Private Internet Access,control,5,0,0,1006,547
vpn,vpn_05,Windscribe,control,5,0,0,1006,547
vpn,vpn_05,Private Internet Access,neutral_p5,5,0,0,1099,549
vpn,vpn_05,Private Internet Access,neutral_p1,5,1,0,1099,642
vpn,vpn_05,Private Internet Access,superlative_p5,5,1,0,1111,619
vpn,vpn_05,Private Internet Access,neutral_p5_p8,5,1,0,1192,578
vpn,vpn_05,Windscribe,neutral_p5,5,0,0,1096,604
vpn,vpn_05,Windscribe,neutral_p1,5,0,0,1096,585
vpn,vpn_05,Windscribe,superlative_p5,5,0,0,1108,664
vpn,vpn_05,Windscribe,neutral_p5_p8,5,0,0,1186,565
vpn,vpn_05,Private Internet Access,control,6,0,0,1006,533
vpn,vpn_05,Windscribe,control,6,0,0,1006,533
vpn,vpn_05,Private Internet Access,neutral_p5,6,0,0,1099,526
vpn,vpn_05,Private Internet Access,neutral_p1,6,1,0,1099,610
vpn,vpn_05,Private Internet Access,superlative_p5,6,1,0,1111,648
vpn,vpn_05,Private Internet Access,neutral_p5_p8,6,0,0,1192,519
vpn,vpn_05,Windscribe,neutral_p5,6,0,0,1096,547
vpn,vpn_05,Windscribe,neutral_p1,6,0,0,1096,593
vpn,vpn_05,Windscribe,superlative_p5,6,0,0,1108,636
vpn,vpn_05,Windscribe,neutral_p5_p8,6,0,0,1186,577
vpn,vpn_05,Private Internet Access,control,7,0,0,1006,555
vpn,vpn_05,Windscribe,control,7,0,0,1006,555
vpn,vpn_05,Private Internet Access,neutral_p5,7,1,0,1099,623
vpn,vpn_05,Private Internet Access,neutral_p1,7,1,0,1099,615
vpn,vpn_05,Private Internet Access,superlative_p5,7,1,0,1111,639
vpn,vpn_05,Private Internet Access,neutral_p5_p8,7,1,0,1192,573
vpn,vpn_05,Windscribe,neutral_p5,7,0,0,1096,593
vpn,vpn_05,Windscribe,neutral_p1,7,0,0,1096,579
vpn,vpn_05,Windscribe,superlative_p5,7,0,0,1108,628
vpn,vpn_05,Windscribe,neutral_p5_p8,7,0,0,1186,574
hosting,hosting_01,Supabase,control,0,0,0,980,647
hosting,hosting_01,Coolify,control,0,0,0,980,647
hosting,hosting_01,Supabase,neutral_p5,0,1,0,1064,585
hosting,hosting_01,Supabase,neutral_p1,0,1,0,1064,675
